日期,1513.TW價,6414.TW價,Z-Score,持倉,未實現損益,累計已實現損益,凍結保證金,帳戶淨值,動作
2022-08-19,59.266693115234375,201.62554931640625,0.6534261994761003,-1,18239.425659179688,33745.0702735899,70440.90545654297,251984.49593276958,
2022-08-22,60.8483772277832,202.50987243652344,0.5561140360426684,-1,19634.14764404297,33745.0702735899,71106.7274093628,253379.21791763286,
2022-08-23,61.22053909301758,200.74124145507807,0.2771619694878423,-1,23915.733337402457,33745.0702735899,70729.68074798583,257660.80361099236,
2022-08-24,60.8483772277832,205.60501098632807,0.8964454408257055,-1,13443.870544433707,33745.0702735899,71942.41481781004,247188.9408180236,
2022-08-25,60.47621536254883,205.60501098632807,0.911548635277156,-1,12699.546813964957,33745.0702735899,71841.93111419676,246444.61708755486,
2022-08-26,59.73189163208008,202.50987243652344,0.6009662767446088,-1,17401.17645263672,33745.0702735899,70805.27629852295,251146.24672622661,
2022-08-29,59.91797256469727,190.12936401367188,-0.9165998941105894,0,0.0,76209.423543701,0.0,276209.423543701,"平倉: 空Spread, 損益=+42,464"
2022-08-30,61.68574142456055,192.7823181152344,-0.7798413812508969,0,0.0,76209.423543701,0.0,276209.423543701,
2022-08-31,61.59269332885742,195.43528747558597,-0.4328696902140761,0,0.0,76209.423543701,0.0,276209.423543701,
2022-09-01,61.22053909301758,193.22447204589844,-0.6342373001284838,0,0.0,76209.423543701,0.0,276209.423543701,
2022-09-02,60.29013442993164,192.34014892578125,-0.6077256917457511,0,0.0,76209.423543701,0.0,276209.423543701,
2022-09-05,60.66229248046875,187.47637939453125,-1.2110708783421247,0,0.0,76209.423543701,0.0,276209.423543701,
2022-09-06,59.08061218261719,188.8028717041016,-0.843392274650536,0,0.0,76209.423543701,0.0,276209.423543701,
2022-09-07,59.35973358154297,173.3272247314453,-2.552212372065096,1,0.0,76140.1160653685,62825.478744506836,276140.11606536846,"開倉: 多Spread (多6414.TW×1, 空1513.TW×1)"
2022-09-08,62.24398040771485,179.0753173828125,-2.103460624728241,1,5727.69165039061,76140.1160653685,65156.21040344238,281867.8077157591,
2022-09-12,61.4066162109375,185.70773315429688,-1.26705355245185,1,20667.251586914062,76140.1160653685,66720.87432861328,296807.3676522825,
2022-09-13,61.499656677246094,185.70773315429688,-1.268590603693815,1,20481.170654296875,76140.1160653685,66745.9952545166,296621.28671966534,
2022-09-14,61.22053909301758,185.70773315429688,-1.2201642727798205,1,21039.405822753906,76140.1160653685,66670.6335067749,297179.52188812237,
2022-09-15,61.4066162109375,182.1704559326172,-1.6049239255528716,1,13592.697143554688,76140.1160653685,65765.80947875977,289732.81320892315,
2022-09-16,60.01101303100586,179.9596405029297,-1.6583264824083142,1,11962.272644042969,76140.1160653685,64792.0764541626,288102.38870941143,
2022-09-19,59.73189163208008,179.51748657226562,-1.6424533507920225,1,11636.207580566406,76140.1160653685,64597.33211517334,287776.32364593487,
2022-09-20,61.68574142456055,182.1704559326172,-1.5117902742150149,1,13034.446716308594,76140.1160653685,65841.17328643799,289174.56278167706,
2022-09-21,60.8483772277832,179.0753173828125,-1.6820268010888377,1,8518.898010253906,76140.1160653685,64779.39754486084,284659.01407562237,
2022-09-22,61.96485900878906,179.9596405029297,-1.6317935013492302,1,8054.5806884765625,76140.1160653685,65319.61486816406,284194.696753845,
2022-09-23,59.35973358154297,178.1909942626953,-1.5055568343366332,1,9727.5390625,76140.1160653685,64138.696517944336,285867.65512786846,
2022-09-26,56.38243865966797,169.78993225097656,-1.961914430787709,1,-1119.9951171875,76140.1160653685,61066.54014587402,275020.12094818096,
2022-09-27,56.661563873291016,171.55857849121094,-1.7704798469631011,1,1859.0469360351562,76140.1160653685,61619.43843841553,277999.1630014036,
2022-09-28,53.59123229980469,164.04183959960938,-2.072164693288743,1,-7033.7677001953125,76140.1160653685,58760.9294128418,269106.34836517315,
2022-09-29,53.032989501953125,167.57913208007812,-1.6478204428779082,1,1157.3028564453125,76140.1160653685,59565.27282714844,277297.4189218138,
2022-09-30,52.93994903564453,168.46343994140625,-1.5271427103072062,1,3111.99951171875,76140.1160653685,59778.91502380371,279252.1155770872,
2022-10-03,52.288665771484375,167.13697814941406,-1.5478788262896337,1,1761.6424560546875,76140.1160653685,59244.92385864258,277901.75852142315,
2022-10-04,53.21907424926758,173.3272247314453,-1.089512283112388,1,12281.318664550781,76140.1160653685,61167.50072479248,288421.43472991925,
2022-10-05,53.032989501953125,171.55857849121094,-1.2009797913704658,1,9116.195678710938,76140.1160653685,60639.7233581543,285256.3117440794,
2022-10-06,53.49819564819336,172.88507080078125,-1.0951826803974931,1,10838.768005371094,76140.1160653685,61123.481941223145,286978.88407073956,
2022-10-07,53.12602615356445,172.88507080078125,-1.0322074439477775,1,11583.106994628906,76140.1160653685,61022.99617767334,287723.22305999737,
2022-10-11,52.47474670410156,166.69480895996094,-1.4221082620797612,1,505.1422119140625,76140.1160653685,59175.780029296875,276645.2582772825,
2022-10-12,52.19562530517578,168.90560913085938,-1.1845024445514933,1,5484.9853515625,76140.1160653685,59697.33329772949,281625.10141693096,
2022-10-13,49.49745941162109,158.29373168945312,-1.7338818641657607,1,-10342.43774414061,76140.1160653685,56103.62159729004,265797.67832122784,
2022-10-14,51.54434585571289,165.81048583984375,-1.2621860246599923,1,597.2976684570312,76140.1160653685,58685.80455780029,276737.4137338255,
2022-10-17,50.70697784423828,164.92616271972656,-1.224673734088176,1,503.387451171875,76140.1160653685,58220.94795227051,276643.50351654034,
2022-10-18,50.61394119262695,167.13697814941406,-1.0152621801638533,1,5111.091613769531,76140.1160653685,58792.748222351074,281251.207679138,
