Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
1314.TW-6116.TW,1314.TW,6116.TW,0.8939758867948271,0.0075049885700975375,-3.9865420037382644
4743.TWO-5871.TW,4743.TWO,5871.TW,0.8520914402740544,0.007550560963491332,-3.984689409682814
2059.TW-2328.TW,2059.TW,2328.TW,0.8575036159757563,0.007785340552528268,-3.9753019849399744
6290.TWO-2404.TW,6290.TWO,2404.TW,0.8970403510183534,0.00793772413902392,-3.9693446095119223
3152.TWO-2014.TW,3152.TWO,2014.TW,0.8635270004173144,0.007968988530712767,-3.968135081912014
2439.TW-3034.TW,2439.TW,3034.TW,0.8887490322435176,0.007978013304492278,-3.967786734197975
6290.TWO-6139.TW,6290.TWO,6139.TW,0.940508236594104,0.008077608089494101,-3.9639658383544996
1609.TW-1216.TW,1609.TW,1216.TW,0.9072978830553421,0.00810164036161327,-3.9630502044204468
3034.TW-9958.TW,3034.TW,9958.TW,0.8843485950161523,0.008265374823743126,-3.956876123957814
1909.TW-1314.TW,1909.TW,1314.TW,0.9272037666075575,0.008379840777354841,-3.9526248330559692
6279.TWO-8069.TWO,6279.TWO,8069.TWO,0.8515407526447228,0.008380949307958513,-3.9525839177844535
1503.TW-2356.TW,1503.TW,2356.TW,0.8569684601083172,0.00857194638928041,-3.945605880834114
3005.TW-2382.TW,3005.TW,2382.TW,0.935708307116173,0.008760411579994078,-3.938855898305711
3005.TW-6121.TWO,3005.TW,6121.TWO,0.9314182255096113,0.00893627220648451,-3.932673894313361
3231.TW-6414.TW,3231.TW,6414.TW,0.9220735861588331,0.00943063594416508,-3.9158623254607208
00679B.TWO-3691.TWO,00679B.TWO,3691.TWO,0.8513473808427373,0.009456181904125905,-3.915015228517179
6488.TWO-2492.TW,6488.TWO,2492.TW,0.8545784422278312,0.00952215163526439,-3.912837131962082
2338.TW-1301.TW,2338.TW,1301.TW,0.876509197154099,0.009670227495450276,-3.9079969434237305
5274.TWO-6257.TW,5274.TWO,6257.TW,0.9623374542073023,0.00979186957554132,-3.9040701712177692
3006.TW-3105.TWO,3006.TW,3105.TWO,0.8730194535358294,0.009824182970109646,-3.903034388270231
1904.TW-6269.TW,1904.TW,6269.TW,0.9048901436722102,0.009976289803895722,-3.898199266110757
2382.TW-6414.TW,2382.TW,6414.TW,0.9423779379791183,0.0100021891187807,-3.8973825619783273
6669.TW-6239.TW,6669.TW,6239.TW,0.8710127470283987,0.010044814064555862,-3.8960425415508437
2881.TW-2454.TW,2881.TW,2454.TW,0.9373344635134626,0.010216078444121316,-3.8907091456768894
2881.TW-6005.TW,2881.TW,6005.TW,0.9378700284179644,0.010237150953042035,-3.8900584494242065
2388.TW-2352.TW,2388.TW,2352.TW,0.8588155171755005,0.010300442590584009,-3.888111239998252
3017.TW-4958.TW,3017.TW,4958.TW,0.9035961635624111,0.010397663140637779,-3.8851408975581974
