Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
2881.TW-3227.TWO,2881.TW,3227.TWO,0.9075375043026268,0.019814070516736525,-3.6734811496068076
6257.TW-6223.TWO,6257.TW,6223.TWO,0.9533631340063358,0.019856983386125997,-3.6727428199596823
3264.TWO-2308.TW,3264.TWO,2308.TW,0.9048394611092879,0.019868128521661255,-3.672551291728469
8299.TWO-2383.TW,8299.TWO,2383.TW,0.8932332524033799,0.019898061351433318,-3.672037361347434
3231.TW-6188.TWO,3231.TW,6188.TWO,0.9522511862103158,0.020120923410641936,-3.668231968957784
1795.TW-6245.TWO,1795.TW,6245.TWO,0.8647788856499313,0.02013829228339854,-3.667936937667611
2515.TW-00878.TW,2515.TW,00878.TW,0.866459179787844,0.020196392910564562,-3.6669516355112397
2344.TW-1717.TW,2344.TW,1717.TW,0.9019271531831553,0.020197638591322745,-3.666930537607833
3376.TW-3045.TW,3376.TW,3045.TW,0.8838513717686105,0.02061146587337251,-3.659983488950998
3017.TW-2345.TW,3017.TW,2345.TW,0.9659630185886632,0.020619115625807146,-3.6598562164169683
8299.TWO-2313.TW,8299.TWO,2313.TW,0.8915465906715375,0.020949695565623722,-3.6543950366315263
1216.TW-6414.TW,1216.TW,6414.TW,0.9122823382355961,0.021112723282671456,-3.651729342610458
8039.TW-2313.TW,8039.TW,2313.TW,0.904952525131085,0.021180257286607194,-3.6506303177684045
2474.TW-6414.TW,2474.TW,6414.TW,0.9074553954629561,0.021225548179212617,-3.6498949733418926
2881.TW-2312.TW,2881.TW,2312.TW,0.9073723340102672,0.021272115709254014,-3.6491403208145616
3034.TW-2353.TW,3034.TW,2353.TW,0.8944306759369633,0.02139737127503908,-3.64711758036679
00719B.TWO-3533.TW,00719B.TWO,3533.TW,0.8982905222273576,0.021841844448173667,-3.640021792877804
