股票期貨、 選擇權 商品代碼,標的證券,證券代號,標的證券 簡稱,是否為 股票期貨 標的,是否為 股票選擇權 標的,是否為 股票選擇權週契約 標的,上市普通股 標的證券,上櫃普通股 標的證券,上市ETF 標的證券,上櫃ETF 標的證券,標準型證 券股數/ 受益權單位,一般交易時段 交易時間 (期貨、選擇權契約),盤後交易時段 交易時間 (期貨契約)
RP,寶雅國際股份有限公司,5904,寶雅,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
RR,寶雅國際股份有限公司,5904,寶雅,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
RS,力旺電子股份有限公司,3529,力旺,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
RU,世紀鋼鐵結構股份有限公司,9958,世紀鋼,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
RV,台達電子工業股份有限公司,2308,台達電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
RW,創意電子股份有限公司,3443,創意,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
RX,富邦富時越南證券投資信託基金,00885,富邦越南ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
RY,群益台灣ESG低碳50ETF證券投資信託基金,00923,群益台ESG低碳50ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
RZ,元大美國政府20年期(以上)債券證券投資信託基金,00679B,元大美債20年ETF,●  是股票期貨標的,,,,,,◎  是上櫃ETF標的證券,10000.0,8:45~16:15,17:25~次日05:00
SA,美時化學製藥股份有限公司,1795,美時,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
SB,中華紙漿股份有限公司,1905,華紙,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
SC,聚陽實業股份有限公司,1477,聚陽,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
SD,中興電工機械股份有限公司,1513,中興電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
SE,智邦科技股份有限公司,2345,智邦,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
SF,台光電子材料股份有限公司,2383,台光電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
SG,國泰全球智能電動車ETF證券投資信託基金,00893,國泰智能電動車ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~16:15,-
SI,元大美國政府1至3年期債券ETF基金,00719B,元大美債1-3ETF,●  是股票期貨標的,,,,,,◎  是上櫃ETF標的證券,10000.0,8:45~16:15,-
SJ,神基控股股份有限公司,3005,神基,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
SK,至上電子股份有限公司,8112,至上,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
SL,技嘉科技股份有限公司,2376,技嘉,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
SM,群益台灣精選高息ETF證券投資信託基金,00919,群益台灣精選高息ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
SN,復華台灣科技優息ETF證券投資信託基金,00929,復華台灣科技優息ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
SQ,中國信託多元收益債券ETF傘型證券投資信託基金之中國信託10年期以上高評級美元公司債券ETF證券投資信託基金,00772B,中信高評級公司債ETF,●  是股票期貨標的,,,,,,◎  是上櫃ETF標的證券,10000.0,8:45~16:15,-
SR,元大台灣卓越50證券投資信託基金,0050,元大台灣50ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,1000.0,8:45~13:45,17:25~次日05:00
SS,元大台灣高股息證券投資信託基金,0056,元大高股息ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,1000.0,8:45~13:45,-
SU,元大臺灣價值高息ETF證券投資信託基金,00940,元大台灣價值高息ETF,●  是股票期貨標的,,,,,◎  是上市ETF標的證券,,10000.0,8:45~13:45,-
SV,川湖科技股份有限公司,2059,川湖,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
SW,世紀鋼鐵結構股份有限公司,9958,世紀鋼,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
SY,家登精密工業股份有限公司,3680,家登,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
SZ,家登精密工業股份有限公司,3680,家登,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
UA,士林電機廠股份有限公司,1503,士電,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UB,亞翔工程股份有限公司,6139,亞翔,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UC,廣明光電股份有限公司,6188,廣明,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,2000.0,8:45~13:45,-
UE,上海商業儲蓄銀行股份有限公司,5876,上海商銀,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UF,台塑石化股份有限公司,6505,台塑化,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UG,達發科技股份有限公司,6526,達發,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
UH,奇鋐科技股份有限公司,3017,奇鋐,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
UI,達發科技股份有限公司,6526,達發,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,100.0,8:45~13:45,-
UJ,群益ESG 20年期以上BBB投資等級公司債ETF證券投資信託基金,00937B,群益ESG投等債20+ETF,●  是股票期貨標的,,,,,,◎  是上櫃ETF標的證券,10000.0,8:45~16:15,-
UK,國泰20年期(以上)美國公債指數證券投資信託基金,00687B,國泰20年美債ETF,●  是股票期貨標的,,,,,,◎  是上櫃ETF標的證券,10000.0,8:45~16:15,-
UL,雙鴻科技股份有限公司,3324,雙鴻,●  是股票期貨標的,,,,◎  是上櫃普通股標的證券,,,100.0,8:45~13:45,-
